0,1,2,3,4
2024_8_5]13]3]42,028670,028670,"['11043', '579', '3241', '7079', '17282', '13075', '88267', '22840', '15768', '1001', '172', '732', '4688', '1352', '3450', '3214', '12163', '2849', '120', '345']","['-3470', '-3475', '-3480', '-3485', '-3490', '-3495', '-3500', '-3505', '-3510', '-3515', '-3520', '-3525', '-3530', '-3535', '-3540', '-3545', '-3550', '-3555', '-3560', '-3565']"
2024_8_5]13]3]42,042670,042670,"['62', '1342', '2941', '10363', '4579', '1705', '2795', '1014', '4818', '7791', '8001', '542', '1665', '250', '867', '1570', '2067', '1575', '209', '659']","['-6870', '-6880', '-6890', '-6900', '-6910', '-6920', '-6930', '-6940', '-6950', '-6960', '-6970', '-6990', '-7000', '-7010', '-7020', '-7030', '-7040', '-7050', '-7060', '-7070']"
2024_8_5]13]3]42,073240,073240,"['7684', '3371', '1524', '7696', '1434', '4694', '2156', '516', '1777', '1856', '1125', '562', '434', '1207', '1000', '1520', '156', '397', '503', '465']","['-4605', '-4610', '-4615', '-4620', '-4625', '-4630', '-4635', '-4640', '-4645', '-4650', '-4655', '-4660', '-4665', '-4670', '-4675', '-4680', '-4685', '-4690', '-4695', '-4700']"
2024_8_5]13]3]42,138930,138930,"['338', '1565', '343', '2049', '427', '4339', '10685', '3236', '1908', '788', '4642', '1599', '763', '1', '1210', '432', '52', '1894', '1544', '209']","['-8740', '-8750', '-8760', '-8770', '-8780', '-8790', '-8800', '-8810', '-8820', '-8830', '-8840', '-8850', '-8860', '-8870', '-8880', '-8890', '-8900', '-8910', '-8920', '-8930']"
2024_8_5]13]3]43,018880,018880,"['6669', '14101', '388', '8259', '1205', '1049', '2224', '5032', '1924', '1277', '1491', '528', '1002', '2531', '266', '110', '243', '900', '3167', '403']","['-3895', '-3900', '-3905', '-3910', '-3915', '-3920', '-3925', '-3930', '-3935', '-3940', '-3945', '-3950', '-3955', '-3960', '-3965', '-3970', '-3975', '-3980', '-3985', '-3990']"
2024_8_5]13]3]43,139130,139130,"['212', '4', '4740', '82', '2667', '350', '160', '3918', '42940', '3361', '6855', '160', '1520', '1454', '220', '1981', '464', '322', '1', '24']","['-7560', '-7570', '-7580', '-7590', '-7600', '-7610', '-7620', '-7630', '-7640', '-7650', '-7660', '-7670', '-7680', '-7690', '-7710', '-7720', '-7740', '-7750', '-7760', '-7770']"
2024_8_5]13]3]43,042670,042670,"['62', '1342', '2941', '10363', '4579', '1705', '2795', '1014', '4818', '5791', '8001', '542', '1665', '250', '867', '1570', '2067', '1575', '209', '659']","['-6870', '-6880', '-6890', '-6900', '-6910', '-6920', '-6930', '-6940', '-6950', '-6960', '-6970', '-6990', '-7000', '-7010', '-7020', '-7030', '-7040', '-7050', '-7060', '-7070']"
2024_8_5]13]3]43,139130,139130,"['212', '4', '4740', '82', '2667', '350', '160', '3918', '42940', '3361', '6964', '160', '1520', '1454', '220', '1882', '464', '322', '1', '24']","['-7560', '-7570', '-7580', '-7590', '-7600', '-7610', '-7620', '-7630', '-7640', '-7650', '-7660', '-7670', '-7680', '-7690', '-7710', '-7720', '-7740', '-7750', '-7760', '-7770']"
2024_8_5]13]3]43,003620,003620,"['766', '2222', '111', '1029', '2317', '177', '7349', '2446', '1158', '175', '966', '369', '1906', '365', '1122', '2550', '175', '401', '308', '216']","['-5440', '-5450', '-5460', '-5470', '-5480', '-5490', '-5500', '-5510', '-5520', '-5530', '-5540', '-5550', '-5560', '-5580', '-5590', '-5600', '-5610', '-5620', '-5630', '-5640']"
2024_8_5]13]3]43,018880,018880,"['6669', '14101', '388', '8259', '1205', '1049', '2224', '5032', '1924', '1277', '1490', '528', '1002', '2531', '266', '110', '243', '900', '3167', '403']","['-3895', '-3900', '-3905', '-3910', '-3915', '-3920', '-3925', '-3930', '-3935', '-3940', '-3945', '-3950', '-3955', '-3960', '-3965', '-3970', '-3975', '-3980', '-3985', '-3990']"
2024_8_5]13]3]43,139130,139130,"['212', '4', '4740', '82', '2667', '350', '160', '3918', '42940', '3363', '6964', '160', '1520', '1454', '220', '1882', '464', '322', '1', '24']","['-7560', '-7570', '-7580', '-7590', '-7600', '-7610', '-7620', '-7630', '-7640', '-7650', '-7660', '-7670', '-7680', '-7690', '-7710', '-7720', '-7740', '-7750', '-7760', '-7770']"
2024_8_5]13]3]43,003620,003620,"['766', '2222', '111', '1029', '2317', '177', '7349', '2446', '1258', '175', '966', '369', '1906', '365', '1122', '2550', '175', '401', '308', '216']","['-5440', '-5450', '-5460', '-5470', '-5480', '-5490', '-5500', '-5510', '-5520', '-5530', '-5540', '-5550', '-5560', '-5580', '-5590', '-5600', '-5610', '-5620', '-5630', '-5640']"
2024_8_5]13]3]43,042670,042670,"['62', '1342', '2941', '10463', '4579', '1705', '2695', '1014', '4818', '5791', '8001', '542', '1665', '250', '867', '1570', '2067', '1575', '209', '659']","['-6870', '-6880', '-6890', '-6900', '-6910', '-6920', '-6930', '-6940', '-6950', '-6960', '-6970', '-6990', '-7000', '-7010', '-7020', '-7030', '-7040', '-7050', '-7060', '-7070']"
2024_8_5]13]3]43,073240,073240,"['7684', '3371', '1524', '7696', '1434', '4694', '2156', '516', '1777', '856', '1125', '562', '434', '207', '1000', '1520', '156', '397', '503', '465']","['-4605', '-4610', '-4615', '-4620', '-4625', '-4630', '-4635', '-4640', '-4645', '-4650', '-4655', '-4660', '-4665', '-4670', '-4675', '-4680', '-4685', '-4690', '-4695', '-4700']"
2024_8_5]13]3]44,018880,018880,"['6669', '14101', '388', '8259', '1205', '1049', '2224', '5032', '1924', '777', '1490', '528', '1002', '2531', '266', '110', '243', '900', '3167', '403']","['-3895', '-3900', '-3905', '-3910', '-3915', '-3920', '-3925', '-3930', '-3935', '-3940', '-3945', '-3950', '-3955', '-3960', '-3965', '-3970', '-3975', '-3980', '-3985', '-3990']"
2024_8_5]13]3]44,088350,088350,"['4169', '4199', '15079', '5309', '17140', '7423', '21190', '6647', '2353', '200', '624', '1048', '101', '2874', '4223', '5047', '2453', '6935', '1349', '3129']","['-2720', '-2725', '-2730', '-2735', '-2740', '-2745', '-2750', '-2755', '-2760', '-2770', '-2785', '-2790', '-2795', '-2800', '-2805', '-2810', '-2815', '-2820', '-2825', '-2830']"
2024_8_5]13]3]44,018880,018880,"['6669', '14102', '388', '8259', '1205', '1049', '2224', '5032', '1924', '782', '1491', '528', '1002', '2531', '266', '110', '243', '900', '3167', '403']","['-3895', '-3900', '-3905', '-3910', '-3915', '-3920', '-3925', '-3930', '-3935', '-3940', '-3945', '-3950', '-3955', '-3960', '-3965', '-3970', '-3975', '-3980', '-3985', '-3990']"
2024_8_5]13]3]44,042670,042670,"['62', '1342', '2941', '10463', '4579', '1705', '2695', '1014', '4818', '2645', '8001', '542', '1665', '250', '867', '1570', '2067', '1575', '209', '659']","['-6870', '-6880', '-6890', '-6900', '-6910', '-6920', '-6930', '-6940', '-6950', '-6960', '-6970', '-6990', '-7000', '-7010', '-7020', '-7030', '-7040', '-7050', '-7060', '-7070']"
2024_8_5]13]3]44,073240,073240,"['7684', '3371', '1524', '7696', '1434', '4694', '2156', '516', '1777', '756', '1125', '562', '434', '207', '1000', '1520', '156', '397', '503', '465']","['-4605', '-4610', '-4615', '-4620', '-4625', '-4630', '-4635', '-4640', '-4645', '-4650', '-4655', '-4660', '-4665', '-4670', '-4675', '-4680', '-4685', '-4690', '-4695', '-4700']"
2024_8_5]13]3]44,395400,395400,"['121', '238', '278', '390', '192', '1618', '1163', '3455', '1951', '3179', '1227', '11048', '2008', '555', '4142', '4892', '353', '923', '138', '2720']","['-4915', '-4920', '-4925', '-4930', '-4935', '-4940', '-4945', '-4950', '-4955', '-4960', '-4970', '-4975', '-4980', '-4990', '-4995', '-5000', '-5010', '-5020', '-5030', '-5040']"
2024_8_5]13]3]44,018880,018880,"['6669', '14102', '388', '8259', '1205', '1049', '2224', '5032', '1924', '782', '1491', '528', '1002', '2531', '266', '110', '243', '900', '3167', '403']","['-3895', '-3900', '-3905', '-3910', '-3915', '-3920', '-3925', '-3930', '-3935', '-3940', '-3945', '-3950', '-3955', '-3960', '-3965', '-3970', '-3975', '-3980', '-3985', '-3990']"
2024_8_5]13]3]44,006800,006800,"['1624', '4514', '2335', '658', '2836', '1629', '1192', '885', '1382', '13418', '1497', '4714', '200', '450', '11', '209', '224', '632', '3000', '3216']","['-6710', '-6720', '-6730', '-6740', '-6750', '-6760', '-6770', '-6780', '-6790', '-6800', '-6810', '-6820', '-6830', '-6840', '-6850', '-6860', '-6870', '-6880', '-6890', '-6900']"
2024_8_5]13]3]44,047040,047040,"['1193', '2974', '1544', '4680', '9330', '7856', '10184', '5626', '444', '1009', '11161', '1911', '1496', '3149', '69483', '205', '5673', '2', '4597', '4214']","['-3660', '-3665', '-3670', '-3675', '-3680', '-3685', '-3690', '-3695', '-3700', '-3705', '-3710', '-3715', '-3720', '-3725', '-3730', '-3735', '-3740', '-3745', '-3750', '-3755']"
2024_8_5]13]3]44,139130,139130,"['212', '10', '4740', '82', '2667', '350', '160', '3918', '42940', '3363', '6964', '160', '1520', '1454', '220', '1882', '464', '322', '1', '24']","['-7560', '-7570', '-7580', '-7590', '-7600', '-7610', '-7620', '-7630', '-7640', '-7650', '-7660', '-7670', '-7680', '-7690', '-7710', '-7720', '-7740', '-7750', '-7760', '-7770']"
2024_8_5]13]3]44,006800,006800,"['1624', '4514', '2335', '658', '2836', '1629', '1192', '885', '1382', '13418', '1497', '4713', '200', '450', '11', '209', '224', '632', '3000', '3216']","['-6710', '-6720', '-6730', '-6740', '-6750', '-6760', '-6770', '-6780', '-6790', '-6800', '-6810', '-6820', '-6830', '-6840', '-6850', '-6860', '-6870', '-6880', '-6890', '-6900']"
2024_8_5]13]3]44,365550,365550,"['2616', '4209', '471', '1734', '1006', '2102', '172', '1416', '773', '196', '1015', '1000', '1877', '1114', '1225', '8740', '1005', '1600', '499', '2091']","['-4745', '-4750', '-4755', '-4760', '-4765', '-4770', '-4775', '-4780', '-4785', '-4790', '-4800', '-4810', '-4825', '-4830', '-4840', '-4845', '-4850', '-4855', '-4860', '-4880']"
2024_8_5]13]3]45,006800,006800,"['1625', '4514', '2335', '658', '2836', '1629', '1192', '885', '1382', '13418', '1497', '4713', '200', '450', '11', '209', '224', '632', '3000', '3216']","['-6710', '-6720', '-6730', '-6740', '-6750', '-6760', '-6770', '-6780', '-6790', '-6800', '-6810', '-6820', '-6830', '-6840', '-6850', '-6860', '-6870', '-6880', '-6890', '-6900']"
2024_8_5]13]3]45,018880,018880,"['6669', '14112', '388', '8259', '1205', '1049', '2224', '5032', '1924', '782', '1491', '528', '1002', '2531', '266', '110', '243', '900', '3167', '403']","['-3895', '-3900', '-3905', '-3910', '-3915', '-3920', '-3925', '-3930', '-3935', '-3940', '-3945', '-3950', '-3955', '-3960', '-3965', '-3970', '-3975', '-3980', '-3985', '-3990']"
2024_8_5]13]3]45,073240,073240,"['13210', '7684', '3371', '1524', '7696', '1434', '4694', '2156', '516', '1777', '1049', '320', '562', '434', '207', '1520', '156', '397', '503', '465']","['-4600', '-4605', '-4610', '-4615', '-4620', '-4625', '-4630', '-4635', '-4640', '-4645', '-4650', '-4655', '-4660', '-4665', '-4670', '-4680', '-4685', '-4690', '-4695', '-4700']"
2024_8_5]13]3]45,042670,042670,"['62', '1342', '2941', '10463', '4579', '1705', '2695', '1014', '4818', '2641', '8001', '542', '1665', '250', '867', '1570', '2067', '1575', '209', '659']","['-6870', '-6880', '-6890', '-6900', '-6910', '-6920', '-6930', '-6940', '-6950', '-6960', '-6970', '-6990', '-7000', '-7010', '-7020', '-7030', '-7040', '-7050', '-7060', '-7070']"
2024_8_5]13]3]45,073240,073240,"['13210', '7684', '3371', '1524', '7696', '1434', '4694', '2156', '516', '1777', '1049', '527', '562', '434', '1520', '156', '397', '503', '465', '90']","['-4600', '-4605', '-4610', '-4615', '-4620', '-4625', '-4630', '-4635', '-4640', '-4645', '-4650', '-4655', '-4660', '-4665', '-4680', '-4685', '-4690', '-4695', '-4700', '-4705']"
2024_8_5]13]3]45,139130,139130,"['212', '10', '4740', '82', '2667', '350', '160', '3918', '42940', '3363', '6964', '160', '1520', '214', '220', '1882', '464', '322', '1', '24']","['-7560', '-7570', '-7580', '-7590', '-7600', '-7610', '-7620', '-7630', '-7640', '-7650', '-7660', '-7670', '-7680', '-7690', '-7710', '-7720', '-7740', '-7750', '-7760', '-7770']"
