0,1,2,3,4
2024_8_6]9]46]3,003090,003090,"['1', '1', '1', '224', '1', '1', '411', '40', '102', '1', '145', '96', '95', '80', '73', '59', '945', '50', '41', '61']","['+19680', '+19690', '+19700', '+19710', '+19720', '+19730', '+19760', '+19770', '+19780', '+19810', '+19820', '+19830', '+19840', '+19850', '+19860', '+19890', '+19900', '+19910', '+19920', '+19930']"
2024_8_6]9]46]3,010140,010140,"['4088', '1404', '2681', '9884', '2037', '2148', '18069', '11157', '5504', '255', '18592', '26385', '19743', '39813', '51860', '16972', '50593', '52116', '220362', '10839']","['+10820', '+10830', '+10840', '+10850', '+10860', '+10870', '+10880', '+10890', '+10900', '+10910', '+10920', '+10930', '+10940', '+10950', '+10960', '+10970', '+10980', '+10990', '+11000', '+11010']"
2024_8_6]9]46]3,020560,020560,"['1031', '1329', '22', '743', '2071', '272', '4733', '1062', '305', '590', '154', '1148', '1152', '845', '237', '516', '363', '27', '175', '437']","['+9340', '+9350', '+9360', '+9370', '+9380', '+9390', '+9400', '+9410', '+9420', '+9430', '+9440', '+9450', '+9460', '+9470', '+9480', '+9490', '+9500', '+9510', '+9520', '+9530']"
2024_8_6]9]46]3,023590,023590,"['1', '7', '1', '4', '97', '11', '130', '150', '63', '2', '240', '242', '45', '45', '57', '51', '600', '13', '65', '163']","['+17360', '+17370', '+17380', '+17390', '+17400', '+17410', '+17420', '+17430', '+17460', '+17470', '+17480', '+17490', '+17520', '+17530', '+17540', '+17570', '+17580', '+17590', '+17600', '+17620']"
2024_8_6]9]46]3,034020,034020,"['2854', '3832', '2068', '1386', '2961', '1082', '3488', '1581', '711', '778', '5731', '2853', '6206', '5765', '10684', '7171', '5689', '2899', '5986', '9759']","['+17010', '+17020', '+17030', '+17040', '+17050', '+17060', '+17070', '+17080', '+17090', '+17100', '+17110', '+17120', '+17130', '+17140', '+17150', '+17160', '+17170', '+17180', '+17190', '+17200']"
2024_8_6]9]46]3,079160,079160,"['3118', '2999', '3320', '1841', '1468', '6976', '2543', '1760', '654', '494', '2651', '1592', '3448', '3140', '5295', '7985', '2016', '2077', '1927', '3621']","['+5450', '+5460', '+5470', '+5480', '+5490', '+5500', '+5510', '+5520', '+5530', '+5540', '+5550', '+5560', '+5570', '+5580', '+5590', '+5600', '+5610', '+5620', '+5630', '+5640']"
2024_8_6]9]46]3,082740,082740,"['66', '501', '237', '1000', '760', '316', '402', '104', '243', '710', '1290', '793', '495', '317', '1806', '1869', '74', '1042', '42', '2224']","['+13020', '+13030', '+13040', '+13050', '+13070', '+13080', '+13090', '+13110', '+13120', '+13130', '+13150', '+13160', '+13170', '+13180', '+13190', '+13200', '+13210', '+13220', '+13230', '+13240']"
2024_8_6]9]46]3,103590,103590,"['2220', '1030', '615', '885', '164', '1281', '449', '360', '47', '130', '1153', '2022', '2040', '3557', '2466', '1538', '1084', '4297', '762', '1262']","['+20950', '+21000', '+21050', '+21100', '+21150', '+21200', '+21250', '+21300', '+21350', '+21400', '+21450', '+21500', '+21550', '+21600', '+21650', '+21700', '+21750', '+21800', '+21850', '+21900']"
2024_8_6]9]46]3,272210,272210,"['1961', '1239', '1505', '2400', '2608', '3684', '1567', '440', '690', '103', '451', '2675', '6620', '1713', '1103', '2980', '2069', '1314', '310', '499']","['+18850', '+18860', '+18870', '+18880', '+18890', '+18900', '+18910', '+18920', '+18930', '+18940', '+18950', '+18960', '+18970', '+18980', '+18990', '+19000', '+19010', '+19020', '+19030', '+19040']"
2024_8_6]9]46]3,272450,272450,"['1125', '1098', '886', '461', '589', '227', '580', '500', '360', '1', '381', '154', '752', '295', '1683', '100', '30', '21', '323', '197']","['+9970', '+9980', '+9990', '+10000', '+10010', '+10020', '+10030', '+10040', '+10050', '+10060', '+10070', '+10080', '+10090', '+10100', '+10110', '+10120', '+10140', '+10150', '+10180', '+10200']"
2024_8_6]9]46]3,001440,001440,"['0', '0', '0', '0', '0', '0', '0', '619', '2505', '706', '11737', '1964', '1067', '0', '0', '0', '0', '0', '0', '0']","['-0', '-0', '-0', '-0', '-0', '-0', '-0', '+12870', '+12880', '+12890', '+12900', '+12910', '+12920', '-0', '-0', '-0', '-0', '-0', '-0', '-0']"
